,Temperature,Humidity,Wind Speed,Precipitation (%),col6,Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility,Location,Weather Type
100,6.6,30,32,10,47.6,clear,1020.72,6,Winter,7.3,coastal,Sunny
101,12.3,41,17,12,43.5,clear,1011.17,8,Spring,7.7,mountain,Sunny
102,32.9,20,25,19,9.0,clear,1033.76,12,Summer,8.2,inland,Sunny
103,39.7,32,19,10,12.2,clear,1011.87,11,Summer,9.5,mountain,Sunny
104,2.9,74,41,86,91.4,partly cloudy,990.53,1,Winter,4.0,inland,Rainy
105,16.7,75,16,61,94.9,overcast,999.35,4,Spring,2.4,mountain,Rainy
106,-1.4,72,71,47,99.3,overcast,1007.41,3,Winter,4.3,inland,Rainy
107,9.2,71,39,66,28.7,overcast,992.48,1,Spring,2.9,mountain,Rainy
108,6.4,83,50,53,79.2,partly cloudy,993.5,0,Winter,3.7,coastal,Rainy
109,11.4,94,56,99,102.5,overcast,997.97,0,Spring,4.7,inland,Rainy
110,18.2,43,23,0,49.2,clear,1033.8,6,Spring,6.2,mountain,Sunny
111,11.8,91,101,65,93.2,overcast,989.82,0,Autumn,3.2,coastal,Rainy
112,29.1,23,6,8,7.9,clear,1026.52,9,Summer,8.8,mountain,Sunny
113,8.3,72,30,58,45.5,overcast,989.65,0,Winter,1.4,inland,Rainy
114,9.0,90,87,63,42.9,overcast,1010.93,3,Autumn,3.5,inland,Rainy
115,30.0,42,5,24,6.3,partly cloudy,1020.17,4,Summer,8.8,mountain,Sunny
116,17.6,31,3,21,44.2,clear,1015.79,9,Autumn,6.6,mountain,Sunny
117,24.1,20,16,1,57.2,overcast,1030.92,5,Summer,8.8,mountain,Sunny
118,27.2,53,39,12,20.5,clear,1030.77,5,Summer,7.2,coastal,Sunny
119,25.9,44,4,9,31.9,clear,1008.82,8,Spring,9.0,inland,Sunny
120,-2.3,83,36,88,39.9,partly cloudy,1011.13,3,Winter,1.4,inland,Rainy
121,7.5,70,9,58,99.4,overcast,989.57,0,Winter,1.5,inland,Rainy
122,23.1,26,12,22,24.5,partly cloudy,1031.52,8,Summer,7.7,coastal,Sunny
123,7.7,62,12,95,47.4,overcast,1004.39,3,Winter,5.4,inland,Rainy
124,15.7,47,19,17,6.0,clear,1031.4,12,Spring,8.9,mountain,Sunny
125,27.4,40,34,22,37.7,clear,1016.98,4,Summer,7.7,inland,Sunny
126,16.1,40,33,15,36.7,partly cloudy,1013.89,10,Autumn,7.5,coastal,Sunny
127,-1.7,64,94,73,86.5,overcast,1000.12,2,Winter,1.1,inland,Rainy
128,0.7,65,35,93,37.8,overcast,1007.87,3,Winter,2.9,inland,Rainy
129,18.3,25,30,10,52.9,partly cloudy,1032.98,11,Autumn,9.6,inland,Sunny
130,11.9,71,84,85,90.1,overcast,999.85,1,Spring,5.1,coastal,Rainy
131,4.7,68,23,71,91.9,partly cloudy,1002.44,5,Winter,2.8,coastal,Rainy
132,-2.7,77,26,79,28.6,overcast,989.32,4,Winter,2.3,mountain,Rainy
133,23.9,41,30,9,49.8,clear,1032.78,9,Spring,7.6,inland,Sunny
134,8.9,64,96,79,79.4,partly cloudy,993.64,5,Winter,1.2,coastal,Rainy
135,34.9,38,25,23,34.1,overcast,1016.67,8,Summer,8.3,coastal,Sunny
136,9.8,51,14,14,37.7,clear,1015.87,4,Winter,8.3,inland,Sunny
137,36.4,38,16,17,33.0,partly cloudy,1034.09,4,Summer,7.7,inland,Sunny
138,2.2,95,15,60,88.0,overcast,996.38,1,Winter,3.2,inland,Rainy
139,38.6,42,14,6,5.2,clear,1023.99,9,Summer,7.4,coastal,Sunny
140,14.0,28,27,10,52.4,clear,1026.61,12,Spring,9.6,inland,Sunny
141,-2.7,69,45,81,69.8,overcast,997.27,2,Winter,2.8,coastal,Rainy
142,30.6,49,22,3,11.9,partly cloudy,1029.14,13,Summer,9.7,coastal,Sunny
143,6.6,77,94,74,31.5,overcast,998.85,1,Spring,2.8,mountain,Rainy
144,24.5,23,26,18,5.0,clear,1011.95,13,Summer,7.5,mountain,Sunny
145,42.3,55,7,21,45.2,clear,1012.37,4,Summer,9.3,inland,Sunny
146,9.3,85,14,51,23.8,overcast,1000.24,2,Winter,1.1,coastal,Rainy
147,34.6,47,2,8,42.4,clear,1009.35,7,Summer,9.8,coastal,Sunny
148,38.2,34,39,23,5.4,clear,1015.96,4,Summer,6.7,inland,Sunny
149,12.5,72,17,54,95.6,overcast,1011.39,5,Autumn,1.1,coastal,Rainy
150,20.4,44,15,5,46.1,clear,1014.92,6,Spring,8.5,coastal,Sunny
151,41.9,45,38,13,51.7,clear,1008.25,8,Summer,7.6,inland,Sunny
152,4.6,95,70,45,58.4,overcast,1009.07,2,Winter,2.1,inland,Rainy
153,28.9,62,18,61,48.0,partly cloudy,998.58,3,Summer,4.0,inland,Rainy
154,-2.3,85,13,80,95.0,overcast,1010.44,1,Winter,1.6,inland,Rainy
155,8.8,91,49,96,87.3,overcast,1003.36,0,Winter,3.1,inland,Rainy
156,27.0,29,19,15,27.6,partly cloudy,1024.07,12,Spring,9.1,coastal,Sunny
157,9.8,65,102,88,95.5,overcast,992.53,0,Winter,2.8,coastal,Rainy
158,7.1,62,6,89,62.7,overcast,1011.36,0,Winter,3.2,inland,Rainy
159,7.9,62,102,89,74.5,overcast,999.34,3,Autumn,1.2,inland,Rainy
160,18.6,32,24,21,22.1,clear,1017.57,11,Autumn,6.6,inland,Sunny
161,8.0,69,92,41,51.1,overcast,1010.63,2,Autumn,2.2,mountain,Rainy
162,22.7,23,9,16,8.1,clear,1014.95,8,Spring,9.5,coastal,Sunny
163,12.3,73,14,47,98.1,partly cloudy,991.62,4,Spring,1.2,coastal,Rainy
164,26.9,55,9,7,17.3,clear,1031.51,8,Summer,9.1,mountain,Sunny
165,25.6,54,40,7,50.1,clear,1017.29,6,Summer,6.5,inland,Sunny
166,23.9,77,69,77,50.9,clear,995.71,2,Summer,2.4,coastal,Rainy
167,32.4,32,21,25,26.6,clear,1013.37,13,Summer,6.9,mountain,Sunny
168,9.2,90,9,65,21.1,overcast,990.66,0,Winter,2.1,coastal,Rainy
169,21.8,24,22,20,47.0,clear,1024.02,7,Spring,9.8,inland,Sunny
170,11.6,37,38,2,17.4,partly cloudy,1022.4,8,Autumn,9.2,mountain,Sunny
171,14.7,82,11,79,56.5,overcast,996.41,4,Spring,5.2,mountain,Rainy
172,30.4,55,6,11,55.5,clear,1008.51,8,Summer,8.7,inland,Sunny
173,29.8,93,29,63,85.8,overcast,1011.19,1,Summer,2.3,coastal,Rainy
174,37.3,37,10,17,56.9,partly cloudy,1034.45,5,Summer,7.1,inland,Sunny
175,27.6,21,23,14,18.2,clear,1033.45,5,Summer,6.3,coastal,Sunny
176,16.4,21,11,1,22.2,partly cloudy,1033.55,9,Autumn,9.9,mountain,Sunny
177,2.9,42,13,21,38.3,clear,1028.48,13,Winter,8.8,inland,Sunny
178,-2.5,69,75,70,70.5,overcast,993.18,1,Winter,3.3,coastal,Rainy
179,12.0,92,63,53,66.6,partly cloudy,1003.63,4,Autumn,1.3,coastal,Rainy
180,8.9,68,39,83,69.6,overcast,992.36,1,Winter,1.7,mountain,Rainy
181,24.7,45,9,16,35.3,partly cloudy,1024.85,7,Summer,8.4,coastal,Sunny
182,11.5,36,12,12,9.1,partly cloudy,1024.93,6,Winter,10.0,mountain,Sunny
183,19.6,41,24,20,54.1,partly cloudy,1017.86,13,Spring,7.5,coastal,Sunny
184,11.0,64,92,70,34.8,overcast,998.56,3,Autumn,3.4,coastal,Rainy
185,8.9,66,80,51,78.3,partly cloudy,998.91,4,Winter,4.4,coastal,Rainy
186,29.7,34,3,19,29.8,clear,1019.24,7,Summer,6.5,mountain,Sunny
187,13.5,69,101,75,22.0,overcast,1008.69,4,Spring,2.1,mountain,Rainy
188,-1.8,79,55,84,87.5,overcast,995.77,3,Winter,4.5,mountain,Rainy
189,8.2,95,45,81,57.1,overcast,996.58,4,Autumn,4.7,mountain,Rainy
190,13.1,60,97,43,106.8,overcast,1002.74,0,Autumn,2.1,mountain,Rainy
191,17.7,21,37,19,7.3,clear,1028.07,4,Spring,9.8,coastal,Sunny
192,30.5,40,28,8,18.7,clear,1008.1,4,Summer,6.6,inland,Sunny
193,42.7,39,22,24,29.2,clear,1018.1,10,Summer,6.1,mountain,Sunny
194,7.8,71,39,77,73.2,overcast,993.08,0,Spring,3.8,coastal,Rainy
195,9.8,84,91,53,33.7,overcast,993.91,5,Winter,1.5,coastal,Rainy
196,38.8,53,6,5,12.3,clear,1008.18,6,Summer,8.7,coastal,Sunny
197,-1.8,84,62,49,45.9,overcast,1006.72,1,Winter,4.6,coastal,Rainy
198,6.7,85,75,80,98.4,overcast,1007.64,4,Autumn,3.3,coastal,Rainy
199,21.4,26,34,6,18.8,clear,1008.24,11,Spring,6.9,mountain,Sunny
200,24.1,42,31,22,28.8,clear,1011.78,7,Summer,9.3,inland,Sunny
201,6.0,68,92,70,36.7,partly cloudy,991.36,4,Autumn,5.0,inland,Rainy
202,3.7,90,75,78,49.5,clear,1011.74,1,Winter,2.2,coastal,Rainy
203,29.7,27,39,18,55.7,clear,1022.33,12,Summer,6.1,coastal,Sunny
204,9.6,77,93,73,53.3,overcast,1008.97,5,Autumn,3.2,coastal,Rainy
205,25.9,37,16,9,37.6,partly cloudy,1020.76,12,Summer,8.9,inland,Sunny
206,31.7,37,7,0,24.2,clear,1029.15,13,Summer,9.3,inland,Sunny
207,24.4,33,11,8,21.0,partly cloudy,1014.05,9,Spring,8.8,mountain,Sunny
208,12.3,80,15,60,89.8,overcast,996.46,3,Autumn,1.1,inland,Rainy
209,15.0,67,20,51,44.3,overcast,1003.06,5,Autumn,1.1,mountain,Rainy
210,26.3,28,21,8,58.7,clear,1009.04,4,Spring,8.8,mountain,Sunny
211,23.6,45,27,25,5.5,clear,1029.56,9,Summer,7.9,inland,Sunny
212,9.5,22,17,25,43.7,partly cloudy,1021.91,4,Autumn,10.0,coastal,Sunny
213,15.6,85,59,60,50.0,overcast,998.17,1,Autumn,4.6,mountain,Rainy
214,23.5,89,13,54,105.2,overcast,994.69,0,Summer,3.2,inland,Rainy
215,10.0,90,73,73,75.4,overcast,1000.86,3,Winter,3.7,inland,Rainy
216,16.9,60,70,62,93.8,overcast,1000.49,4,Summer,2.3,mountain,Rainy
217,13.9,74,81,78,103.2,overcast,995.49,2,Spring,2.3,mountain,Rainy
218,5.0,82,97,90,51.6,overcast,994.55,2,Autumn,4.6,mountain,Rainy
219,30.9,54,4,23,31.2,partly cloudy,1025.38,12,Summer,8.6,mountain,Sunny
220,12.2,46,6,5,51.0,partly cloudy,1013.52,10,Winter,8.5,mountain,Sunny
221,29.4,28,23,18,17.4,clear,1008.61,5,Summer,9.0,inland,Sunny
222,5.1,71,74,91,83.2,overcast,1005.86,3,Winter,3.5,mountain,Rainy
223,6.3,63,29,41,103.3,overcast,990.89,0,Autumn,1.1,mountain,Rainy
224,22.1,71,62,69,86.1,overcast,996.29,4,Summer,1.8,mountain,Rainy
225,4.3,82,39,99,49.0,overcast,1002.18,5,Autumn,3.5,coastal,Rainy
226,7.8,76,40,86,73.2,overcast,990.38,4,Winter,1.0,coastal,Rainy
227,5.9,91,57,63,72.5,overcast,1009.63,5,Autumn,5.2,mountain,Rainy
228,7.2,70,18,83,81.2,partly cloudy,993.26,1,Autumn,1.4,coastal,Rainy
229,5.5,79,20,85,36.0,overcast,988.83,0,Autumn,1.2,coastal,Rainy
230,15.0,44,26,17,43.8,clear,1022.12,7,Autumn,8.2,mountain,Sunny
231,16.4,52,29,7,8.7,partly cloudy,1031.74,10,Spring,7.3,inland,Sunny
232,36.2,29,17,7,32.6,clear,1029.46,10,Summer,9.7,coastal,Sunny
233,14.5,87,61,56,79.5,overcast,996.95,2,Autumn,3.5,coastal,Rainy
234,6.1,93,76,98,66.5,overcast,994.51,1,Winter,2.7,mountain,Rainy
235,5.3,67,35,66,64.1,overcast,988.46,0,Winter,5.5,inland,Rainy
236,28.4,45,5,25,15.8,clear,1020.27,10,Summer,6.9,inland,Sunny
237,-0.7,85,82,53,94.4,overcast,989.67,0,Winter,2.8,coastal,Rainy
238,0.8,68,16,77,51.6,overcast,994.76,3,Winter,2.2,inland,Rainy
239,27.7,22,6,5,15.6,partly cloudy,1010.31,5,Summer,6.3,inland,Sunny
240,-0.0,89,6,54,103.5,overcast,1004.23,3,Winter,3.5,inland,Rainy
241,1.7,81,50,42,92.0,overcast,1010.36,0,Winter,4.0,coastal,Rainy
242,37.0,32,30,5,55.8,partly cloudy,1018.5,11,Summer,7.7,mountain,Sunny
243,-1.7,64,13,95,90.1,overcast,1011.02,4,Winter,1.3,inland,Rainy
244,20.7,50,33,19,19.3,clear,1034.78,5,Spring,6.9,mountain,Sunny
245,17.4,31,37,1,27.1,overcast,1015.44,9,Spring,9.5,inland,Sunny
246,8.7,61,48,85,54.8,overcast,1000.27,4,Winter,4.4,inland,Rainy
247,33.2,25,15,25,24.7,clear,1027.58,7,Summer,8.3,inland,Sunny
248,13.7,53,23,13,7.2,partly cloudy,1023.07,6,Winter,8.7,mountain,Sunny
249,11.5,66,50,46,58.7,partly cloudy,992.99,3,Spring,3.3,mountain,Rainy
250,10.6,29,29,19,59.2,partly cloudy,1028.4,8,Autumn,9.6,inland,Sunny
251,3.1,66,101,77,97.9,overcast,1000.13,5,Autumn,3.4,mountain,Rainy
252,39.9,43,6,21,45.1,clear,1014.97,5,Summer,8.5,inland,Sunny
253,16.7,23,5,22,48.8,clear,1017.97,11,Spring,8.6,inland,Sunny
254,26.2,27,29,15,13.1,clear,1015.77,8,Summer,7.6,inland,Sunny
255,7.7,83,44,44,24.2,overcast,1003.13,0,Spring,1.6,mountain,Rainy
256,10.7,20,32,5,32.3,partly cloudy,1020.61,8,Autumn,6.5,mountain,Sunny
257,22.7,29,33,6,40.0,partly cloudy,1019.4,7,Summer,7.5,coastal,Sunny
258,26.4,53,2,24,55.0,clear,1031.71,12,Summer,7.1,mountain,Sunny
259,15.4,63,19,96,84.3,overcast,992.51,0,Spring,4.5,inland,Rainy
260,28.9,38,15,10,12.3,overcast,1031.86,10,Summer,7.3,mountain,Sunny
261,30.3,20,3,22,26.1,clear,1028.69,7,Summer,6.1,coastal,Sunny
262,18.0,67,8,91,44.3,overcast,996.5,2,Summer,5.4,mountain,Rainy
263,6.7,20,8,8,33.6,overcast,1009.55,7,Winter,6.5,mountain,Sunny
264,26.1,49,37,13,56.4,clear,1022.12,7,Spring,6.2,coastal,Sunny
265,24.6,24,27,24,26.8,partly cloudy,1027.86,7,Spring,9.4,coastal,Sunny
266,5.8,82,84,71,73.8,overcast,1000.32,4,Autumn,1.4,coastal,Rainy
267,20.2,26,2,18,58.3,clear,1010.33,7,Spring,9.2,coastal,Sunny
268,1.8,67,90,83,47.5,overcast,990.74,4,Winter,2.3,coastal,Rainy
269,20.2,48,7,11,9.6,clear,1031.2,5,Autumn,9.8,inland,Sunny
270,9.1,80,98,47,29.0,clear,988.52,0,Autumn,2.0,inland,Rainy
271,25.3,33,24,0,28.5,clear,1022.39,7,Spring,9.8,mountain,Sunny
272,17.3,39,8,25,52.4,clear,1019.41,7,Spring,7.4,coastal,Sunny
273,5.8,93,53,64,27.0,overcast,999.52,5,Spring,4.6,coastal,Rainy
274,32.7,55,15,4,25.9,clear,1022.45,10,Summer,6.1,coastal,Sunny
275,0.0,88,72,97,97.3,overcast,998.56,5,Winter,3.4,inland,Rainy
276,35.2,27,8,16,29.7,clear,1012.33,10,Summer,7.4,inland,Sunny
277,42.0,26,16,14,25.7,clear,1011.55,10,Summer,9.4,coastal,Sunny
278,41.6,44,6,19,48.4,partly cloudy,1029.84,9,Summer,9.5,mountain,Sunny
279,25.6,26,11,7,24.7,partly cloudy,1022.45,5,Summer,9.7,coastal,Sunny
280,3.2,80,9,83,50.4,overcast,1011.32,0,Winter,1.3,inland,Rainy
281,37.9,25,40,6,8.4,clear,1019.23,9,Summer,9.5,coastal,Sunny
282,-0.1,94,102,82,39.4,overcast,989.25,0,Winter,1.0,coastal,Rainy
283,15.4,30,9,1,55.2,clear,1011.55,8,Spring,7.9,inland,Sunny
284,26.9,21,2,23,9.0,clear,1030.8,4,Summer,7.2,coastal,Sunny
285,14.4,38,36,14,43.5,clear,1011.23,8,Spring,9.7,inland,Sunny
286,15.7,29,27,3,23.1,partly cloudy,1018.92,4,Autumn,6.2,mountain,Sunny
287,27.2,31,25,9,23.3,clear,1031.51,8,Spring,6.6,inland,Sunny
288,13.3,29,10,16,43.6,partly cloudy,1008.59,8,Winter,8.5,coastal,Sunny
289,-2.2,81,58,41,41.8,overcast,995.25,0,Winter,2.0,inland,Rainy
290,-0.6,71,76,40,51.8,overcast,989.24,2,Winter,3.2,mountain,Rainy
291,27.2,31,31,20,55.1,partly cloudy,1015.62,9,Spring,6.9,coastal,Sunny
292,11.3,44,20,7,8.7,clear,1026.43,12,Autumn,6.9,inland,Sunny
293,35.8,37,32,13,5.1,clear,1031.23,7,Summer,9.2,mountain,Sunny
294,5.9,83,24,79,43.2,overcast,997.7,1,Autumn,5.1,inland,Rainy
295,7.4,35,38,9,16.5,partly cloudy,1028.64,13,Winter,8.7,coastal,Sunny
296,30.7,46,8,2,8.4,clear,1011.63,6,Summer,8.9,inland,Sunny
297,6.4,81,31,50,38.3,overcast,995.46,3,Spring,1.1,mountain,Rainy
298,14.6,22,11,12,50.3,clear,1028.12,9,Autumn,7.9,mountain,Sunny
299,22.7,37,14,25,31.4,partly cloudy,1008.79,8,Summer,9.7,mountain,Sunny
300,26.9,30,16,16,27.9,clear,1009.52,4,Spring,7.5,coastal,Sunny
301,13.6,40,26,7,27.0,clear,1014.8,5,Autumn,9.7,mountain,Sunny
302,7.7,73,76,87,61.5,overcast,995.88,2,Winter,4.8,mountain,Rainy
303,0.1,83,35,52,62.0,overcast,1002.26,3,Winter,4.1,coastal,Rainy
304,10.6,84,47,88,33.7,partly cloudy,1004.3,4,Spring,4.0,coastal,Rainy
305,8.0,67,105,48,97.6,overcast,999.99,3,Winter,1.2,inland,Rainy
306,25.1,41,4,22,16.6,partly cloudy,1016.1,9,Summer,9.2,coastal,Sunny
307,21.1,45,12,6,44.5,clear,1022.49,4,Spring,7.8,mountain,Sunny
308,1.6,93,30,52,51.0,clear,1006.0,1,Winter,3.4,mountain,Rainy
309,4.5,91,78,63,47.4,overcast,999.37,1,Autumn,4.5,mountain,Rainy
310,5.1,61,67,61,52.6,overcast,1004.2,1,Autumn,3.4,mountain,Rainy
311,34.5,47,24,16,9.8,partly cloudy,1011.08,9,Summer,7.5,coastal,Sunny
312,42.9,34,6,19,41.8,clear,1017.54,10,Summer,8.7,coastal,Sunny
313,1.6,63,33,85,36.6,partly cloudy,989.27,3,Winter,4.4,inland,Rainy
314,23.5,49,21,16,9.0,clear,1010.59,11,Summer,8.5,coastal,Sunny
